ID,price1,price2,capacity1,capacity2,energy1,energy2,safety1,safety2,original_choice
476,38000.0,42750.0,600.0,500.0,0.7,0.7,70.0,70.0,1
5,38000.0,42750.0,400.0,400.0,0.7,0.6,80.0,70.0,1
282,38000.0,42750.0,500.0,400.0,0.4,0.6,80.0,80.0,1
385,38000.0,38000.0,500.0,600.0,0.8,0.8,70.0,70.0,3
283,38000.0,38000.0,500.0,400.0,0.8,0.5,70.0,80.0,3
542,38000.0,47500.0,400.0,400.0,0.6,0.6,70.0,90.0,3
94,38000.0,38000.0,500.0,400.0,0.6,0.5,80.0,80.0,1
233,33250.0,33250.0,600.0,400.0,0.5,0.8,80.0,70.0,1
32,38000.0,33250.0,500.0,600.0,0.6,0.4,80.0,70.0,1
176,38000.0,42750.0,400.0,500.0,0.4,0.5,70.0,90.0,1
106,33250.0,38000.0,500.0,500.0,0.6,0.7,70.0,90.0,1
379,33250.0,47500.0,400.0,500.0,0.5,0.6,90.0,80.0,1
